codigo_suministro,operacion_apertura,Horas Inter,ENS $,Mes
357403501,106475366,"6,70","135,27",4
355456901,106847894,"7,92","134,74",4
305699002,106677448,"6,12","133,94",4
353030601,106060332,"14,33","133,55",4
358488701,105064363,"4,41","133,21",4
314153810,106828825,"12,10","132,65",4
337143801,105901244,"0,06","132,26",4
359788501,106177594,"1,26","132,24",4
327854301,106850207,"6,75","132,23",4
358663001,105285373,"5,29","132,12",4
319218801,105709155,"7,78","132,06",4
320867001,106741677,"4,63","131,92",4
328770001,104783235,"3,01","131,48",4
318610308,105873413,"5,35","131,38",4
308575502,106519564,"4,14","131,35",4
303778901,104747139,"11,70","131,21",4
331039102,106843332,"9,41","131,04",4
366559801,105894203,"1,40","130,36",4
301242301,106800837,"7,15","130,36",4
326213201,105714636,"3,25","130,15",4
325731801,106273654,"2,74","129,96",4
354564401,106064170,"4,66","129,26",4
360994201,104702378,"8,33","128,84",4
365339301,105484468,"8,18","128,80",4
356684801,105065352,"4,16","128,42",4
323325201,104816988,"3,67","127,89",4
365919001,106770209,"3,56","127,41",4
307491901,105029279,"3,95","127,25",4
323332002,104783288,"2,87","127,23",4
324699201,105348726,"2,51","127,07",4
311362901,106231582,"6,32","126,80",4
323023802,105406735,"7,50","126,76",4
324695402,106814030,"4,35","126,49",4
319235109,105710111,"7,18","126,34",4
366175801,104788912,"4,07","126,11",4
303912002,105911010,"11,27","126,00",4
322887301,106092905,"9,22","125,93",4
352360801,106769248,"4,61","125,29",4
362564701,104879894,"4,43","125,18",4
310325103,106829279,"12,00","125,12",4
310888406,106435113,"11,89","124,85",4
358309601,106846683,"8,44","124,71",4
360362601,104717461,"2,05","124,23",4
321460101,104785830,"2,19","123,61",4
367101801,104774517,"2,29","122,88",4
328794302,104872733,"2,72","122,42",4
323323201,104828064,"2,24","121,84",4
329476004,106136290,"4,94","121,62",4
367185701,105966622,"1,33","121,51",4
351413001,105307156,"2,41","121,17",4
312860801,105189299,"19,73","121,09",4
354233001,106831165,"2,67","119,99",4
360016002,106534488,"13,53","119,97",4
360797001,105690335,"9,05","119,69",4
329575302,105860109,"4,68","119,46",4
313608001,105034032,"3,91","119,38",4
367091101,104715397,"1,98","118,96",4
322471702,106823881,"4,19","117,92",4
358403101,105834610,"8,64","117,75",4
358781301,106807815,"7,41","117,66",4
323336302,105060789,"5,22","117,19",4
352863101,106195332,"4,23","117,17",4
352705401,106330921,"8,33","117,07",4
354719501,104813593,"4,23","116,98",4
361449101,106829898,"2,91","116,81",4
362597301,106546827,"1,84","115,67",4
352764001,105913419,"5,93","115,48",4
358383601,105930672,"5,56","115,38",4
353387104,104863188,"5,23","115,23",4
315205101,106787097,"1,36","114,65",4
328943701,106462764,"5,28","114,52",4
353206301,105134648,"2,96","114,40",4
301542803,105564469,"12,53","114,05",4
326712002,105594878,"2,33","113,64",4
361098401,104746797,"11,96","113,45",4
303284001,105576727,"12,12","113,36",4
306651101,106497810,"4,69","111,93",4
312593401,105875686,"3,12","111,92",4
309449001,104870344,"7,49","111,61",4
320796903,105380178,"2,53","111,53",4
321454701,105075593,"1,97","111,45",4
318586004,104720757,"12,37","111,43",4
305425902,105938714,"3,97","111,27",4
321454802,105065478,"4,13","110,79",4
308565402,106324330,"5,97","110,58",4
323324702,104783601,"2,79","110,33",4
365782201,104716212,"1,82","109,87",4
367592301,105537671,"1,29","109,55",4
319638607,104761933,"2,14","109,53",4
331505801,104946173,"6,63","109,53",4
367248201,106843996,"10,77","109,51",4
321082002,105019228,"1,95","109,24",4
356958201,105494986,"1,68","109,04",4
306650901,106427968,"3,64","108,73",4
304449101,105031647,"2,65","108,50",4
362836301,104716196,"1,82","107,93",4
315280601,106310770,"9,61","107,68",4
315159803,106185224,"1,58","107,39",4
303050701,104914839,"7,92","107,12",4
310396802,106213452,"1,24","107,07",4
324368401,106590780,"309,50","106,97",4
363901003,105059102,"5,52","106,29",4
312191911,106497138,"3,69","105,68",4
326566301,106768193,"7,18","105,55",4
311241702,105160122,"12,39","105,40",4
351088801,105064788,"205,48","105,30",4
352299502,105064763,"5,89","105,15",4
312315601,105844663,"4,15","105,02",4
307722802,105830746,"9,09","104,90",4
322716801,106549950,"4,41","104,42",4
305681001,106676918,"6,89","104,19",4
321841401,105959034,"4,77","104,07",4
324169401,104773864,"2,54","103,92",4
360773101,105229456,"14,57","103,83",4
362730601,106274044,"4,48","103,39",4
327619301,106270572,"2,14","103,35",4
355810701,105003353,"2,09","102,90",4
325169401,105114731,"2,70","102,77",4
363622101,104783956,"2,68","102,71",4
356102401,106468989,"4,41","102,49",4
350051501,106783731,"1,63","101,62",4
301862701,106829878,"4,33","101,38",4
306867408,105484364,"8,28","101,30",4
361996701,106188422,"2,54","100,90",4
